Gene 1,Gene 2,cv,train
Acot9,Eif2b4,0.8125,0.9375
Acot9,Ace,0.9375,0.9375
Acot9,Acad10,0.875,0.9375
Acot9,Sdhd,0.875,0.875
Acot9,Rps16,0.9375,1.0
Acot9,Cyc1,0.875,0.9375
Acot9,Sp100,0.875,0.9375
Acot9,Ldb3,0.9375,0.9375
Acot9,Ampd1,0.8125,0.9375
Acot9,Ppil1,0.875,1.0
Acot9,Hnrnph1,0.875,0.9375
Acot9,Scoc,0.875,1.0
Acot9,Plin5,0.875,1.0
Acot9,Rras2,0.75,0.9375
Acot9,Eif2s2,0.8125,0.9375
Acot9,Reep5,0.875,0.9375
Acot9,Ube2f,0.8125,1.0
Acot9,Ociad1,0.75,0.9375
Acot9,Ciao2b,0.9375,1.0
Acot9,Fdps,0.8125,0.875
Acot9,Cat,0.8125,0.9375
Acot9,Srrm1,0.8125,1.0
Acot9,Rpl4,0.8125,0.875
Acot9,Pmpca,0.875,0.9375
Acot9,Zc3h15,0.8125,0.875
Acot9,Rcc1,0.875,0.875
Acot9,Chchd3,0.875,1.0
Acot9,Fdx2,0.875,0.9375
Acot9,Eif1,0.8125,0.9375
Acot9,Cox6c,0.875,0.9375
Acot9,Rad21,0.8125,0.875
Acot9,H1-0,0.8125,0.9375
Acot9,Nmral1,0.875,0.875
Acot9,Nnt,0.8125,0.875
Acot9,Ssb,0.8125,0.9375
Acot9,Dnajc11,0.8125,0.875
Acot9,Snx6,0.8125,1.0
Capza2,Cdc37,1.0,1.0
Capza2,Clpp,0.875,1.0
Capza2,Ctbp1,0.875,1.0
Capza2,Gtf2i,0.6875,0.8125
Capza2,Fkbp3,0.8125,0.875
Capza2,Rbm39,0.75,0.875
Capza2,Eif4b,0.75,0.875
Capza2,Syncrip,0.8125,0.875
Capza2,Akr1c6,0.8125,0.875
Capza2,Dbn1,0.875,0.9375
Capza2,Mrpl14,0.8125,0.875
Capza2,Cobl,0.8125,0.8125
Capza2,Smc3,0.8125,0.8125
Capza2,Bsg,0.8125,0.8125
Capza2,Gcdh,0.75,0.875
Capza2,Adhfe1,0.625,0.8125
Capza2,Pepd,0.75,0.8125
Capza2,Cwc22,0.6875,0.875
Capza2,Col6a6,0.6875,0.875
Capza2,Clic5,0.6875,0.75
Capza2,Txnl1,0.6875,0.875
Capza2,Cisd1,0.75,0.875
Capza2,Aldoc,0.75,0.875
Capza2,Abhd5,0.75,0.875
Capza2,H1-5,0.8125,0.9375
Capza2,Ica,0.75,0.875
Capza2,Ppp1r12b,0.875,0.9375
Capza2,Mecr,1.0,1.0
Capza2,Mgst3,0.8125,0.875
Capza2,Mpc1,0.875,1.0
Capza2,H2az1,0.875,0.9375
Capza2,Gstz1,0.875,0.9375
Capza2,Tmsb10,0.875,1.0
Capza2,Atl3,0.8125,0.875
Capza2,Eif3d,0.75,0.875
Capza2,Tmem65,0.9375,1.0
Capza2,Eif2s3x,0.8125,0.9375
Capza2,Hmgb2,0.875,0.875
Capza2,Fn3krp,0.75,0.875
Capza2,Tmed5,0.6875,0.875
Capza2,Agk,0.75,0.875
Capza2,Cfd,0.625,0.875
Capza2,Pla2g7,0.6875,0.875
Capza2,Rbbp7,0.6875,0.8125
Capza2,Cnp,0.625,0.75
Capza2,Tceal5,0.875,0.875
Capza2,Usp13,0.6875,0.9375
Capza2,Samm50,0.875,0.875
Capza2,Iba57,0.6875,0.875
Capza2,Ybx3,0.8125,0.8125
Capza2,Clic1,0.875,0.875
Capza2,Tomm40,0.75,0.8125
Capza2,Bcat2,0.8125,0.875
Capza2,Nubp2,0.75,0.875
Capza2,Ldhc,0.6875,0.875
Capza2,Pgm2l1,0.875,1.0
Capza2,Ttc1,0.8125,1.0
Capza2,Eif2b4,0.8125,0.9375
Capza2,Ace,0.75,0.875
Capza2,Acad10,0.6875,0.8125
Capza2,Sdhd,0.8125,0.8125
Capza2,Rps16,0.75,0.875
Capza2,Cyc1,0.75,0.875
Capza2,Sp100,0.6875,0.8125
Capza2,Ldb3,0.5625,0.875
Capza2,Ampd1,0.6875,0.9375
Capza2,Ppil1,0.9375,1.0
Capza2,Hnrnph1,0.6875,0.75
Capza2,Scoc,0.8125,0.9375
Capza2,Plin5,0.8125,0.9375
Capza2,Rras2,0.6875,0.8125
Capza2,Eif2s2,0.6875,0.8125
Capza2,Reep5,0.75,0.8125
Capza2,Ube2f,0.9375,0.9375
Capza2,Ociad1,0.8125,0.9375
Capza2,Ciao2b,0.625,0.875
Capza2,Fdps,0.6875,0.8125
Capza2,Cat,0.75,0.8125
Capza2,Srrm1,0.875,0.9375
Capza2,Rpl4,0.8125,0.9375
Capza2,Pmpca,0.875,0.9375
Capza2,Zc3h15,0.6875,0.875
Capza2,Rcc1,0.75,0.8125
Capza2,Chchd3,0.8125,0.9375
Capza2,Fdx2,0.75,0.875
Capza2,Eif1,0.9375,1.0
Capza2,Cox6c,0.6875,0.8125
Capza2,Rad21,0.6875,0.8125
Capza2,H1-0,0.75,0.8125
Capza2,Nmral1,0.75,0.875
Capza2,Nnt,0.75,0.875
Capza2,Ssb,0.875,0.9375
Capza2,Dnajc11,0.8125,0.8125
Capza2,Snx6,0.6875,0.875
Cdc37,Clpp,0.75,0.875
Cdc37,Ctbp1,0.75,0.8125
Cdc37,Gtf2i,0.625,0.75
Cdc37,Fkbp3,0.625,0.8125
Cdc37,Rbm39,0.75,0.875
Cdc37,Eif4b,0.75,0.875
Cdc37,Syncrip,0.6875,0.75
Cdc37,Akr1c6,0.75,0.875
Cdc37,Dbn1,0.75,0.8125
Cdc37,Mrpl14,0.6875,0.8125
Cdc37,Cobl,0.6875,0.75
Cdc37,Smc3,0.75,0.875
Cdc37,Bsg,0.75,0.8125
Cdc37,Gcdh,0.875,0.875
Cdc37,Adhfe1,0.875,1.0
Cdc37,Pepd,0.5625,0.75
Cdc37,Cwc22,0.75,0.875
Cdc37,Col6a6,0.75,0.75
Cdc37,Clic5,0.6875,0.75
Cdc37,Txnl1,0.6875,0.875
Cdc37,Cisd1,0.875,0.9375
Cdc37,Aldoc,0.6875,0.875
Cdc37,Abhd5,0.8125,0.875
Cdc37,H1-5,0.8125,0.875
Cdc37,Ica,0.75,0.875
Cdc37,Ppp1r12b,0.75,0.75
Cdc37,Mecr,0.75,0.875
Cdc37,Mgst3,0.875,1.0
Cdc37,Mpc1,0.75,0.9375
Cdc37,H2az1,0.6875,0.75
Cdc37,Gstz1,0.75,0.875
Cdc37,Tmsb10,0.875,0.875
Cdc37,Atl3,0.875,1.0
Cdc37,Eif3d,0.6875,0.875
Cdc37,Tmem65,0.6875,0.875
Cdc37,Eif2s3x,0.8125,0.875
Cdc37,Hmgb2,0.6875,0.75
Cdc37,Fn3krp,0.6875,0.875
Cdc37,Tmed5,0.75,0.875
Cdc37,Agk,0.625,0.875
Cdc37,Cfd,0.75,0.875
Cdc37,Pla2g7,0.6875,0.875
Cdc37,Rbbp7,0.75,0.875
Cdc37,Cnp,0.75,0.875
Cdc37,Tceal5,0.75,0.75
Cdc37,Usp13,0.75,0.875
Cdc37,Samm50,0.8125,0.9375
Cdc37,Iba57,0.75,0.75
Cdc37,Ybx3,0.75,0.75
Cdc37,Clic1,0.8125,0.875
Cdc37,Tomm40,0.875,0.9375
Cdc37,Bcat2,0.8125,0.8125
Cdc37,Nubp2,0.6875,0.75
Cdc37,Ldhc,0.75,0.875
Cdc37,Pgm2l1,0.8125,0.875
Cdc37,Ttc1,0.875,0.8125
Cdc37,Eif2b4,0.8125,0.875
Cdc37,Ace,0.75,0.9375
Cdc37,Acad10,0.8125,0.9375
Cdc37,Sdhd,0.8125,0.875
Cdc37,Rps16,0.75,0.8125
Cdc37,Cyc1,0.875,0.9375
Cdc37,Sp100,0.875,0.9375
Cdc37,Ldb3,0.8125,0.9375
Cdc37,Ampd1,0.6875,0.75
Cdc37,Ppil1,0.75,0.875
Cdc37,Hnrnph1,0.6875,0.8125
Cdc37,Scoc,0.6875,0.75
Cdc37,Plin5,0.6875,0.75
Cdc37,Rras2,0.75,0.875
Cdc37,Eif2s2,0.75,0.75
Cdc37,Reep5,0.6875,0.8125
Cdc37,Ube2f,0.6875,0.875
Cdc37,Ociad1,0.6875,0.875
Cdc37,Ciao2b,0.75,0.8125
Cdc37,Fdps,0.625,0.875
Cdc37,Cat,0.8125,0.9375
Cdc37,Srrm1,0.875,0.875
Cdc37,Rpl4,0.75,0.875
Cdc37,Pmpca,0.875,0.875
Cdc37,Zc3h15,0.75,0.875
Cdc37,Rcc1,0.6875,0.875
Cdc37,Chchd3,0.4375,0.875
Cdc37,Fdx2,0.6875,0.75
Cdc37,Eif1,0.75,0.8125
Cdc37,Cox6c,0.625,0.875
Cdc37,Rad21,0.75,0.9375
Cdc37,H1-0,0.6875,0.8125
Cdc37,Nmral1,0.6875,0.8125
Cdc37,Nnt,0.75,0.875
Cdc37,Ssb,0.6875,0.75
Cdc37,Dnajc11,0.6875,0.875
