Gene 1,Gene 2,cv,train
Lmnb1,Tnc,0.6875,0.875
Lmnb1,Asrgl1,1.0,1.0
Lmnb1,Spryd4,0.75,0.8125
Lmnb1,Nol3,0.75,0.875
Lmnb1,Aga,0.8125,0.875
Lmnb1,Srsf7,0.8125,0.875
Lmnb1,H2ac21,0.75,0.875
Lmnb1,Otud4,0.8125,0.9375
Lmnb1,Clic5,0.75,0.8125
Lmnb1,Cfl2,0.75,0.875
Lmnb1,Inpp1,0.6875,0.8125
Lmnb1,Atp6v1g1,0.8125,0.9375
Lmnb1,Atox1,0.8125,0.875
Lmnb1,Ddx5,0.8125,0.875
Lmnb1,Rad21,0.75,0.875
Lmnb1,Sdha,0.875,0.9375
Lmnb1,Col5a2,0.6875,0.8125
Lmnb1,Atp2b1,0.75,0.875
Lmnb1,Xirp1,0.8125,0.875
Lmnb1,Ate1,0.8125,0.875
Lmnb1,Klhl41,0.75,0.8125
Lmnb1,Rsu1,0.875,0.9375
Lmnb1,Scrn3,0.8125,0.9375
Lmnb1,Psmd9,0.8125,0.9375
Lmnb1,Phkb,0.8125,0.75
Lmnb1,Samm50,0.8125,0.875
Lmnb1,Xirp2,0.75,0.8125
Lmnb1,Rab1A,0.9375,0.9375
Lmnb1,Isca1,0.8125,1.0
Lmnb1,Ndufv1,0.8125,0.875
Lmnb1,Twf2,0.875,0.875
Lmnb1,Apeh,0.8125,0.875
Lmnb1,Suclg2,0.75,0.8125
Lmnb1,Eprs1,0.8125,0.8125
Lmnb1,Hnrnpa1,0.75,0.8125
Lmnb1,Naa50,0.9375,1.0
Lmnb1,Setd3,0.8125,0.875
Lmnb1,Myh8,0.6875,0.875
Lmnb1,Lman1,0.8125,0.875
Lmnb1,Myo1c,0.6875,0.875
Lmnb1,Lamtor1,0.8125,0.8125
Lmnb1,Rrm1,0.9375,1.0
Lmnb1,Ptma,0.75,0.8125
Lmnb1,Phpt1,0.875,1.0
Lmnb1,Kng1,1.0,1.0
Lmnb1,Diaph1,0.8125,0.9375
Lmnb1,Sqstm1,0.6875,0.8125
Lmnb1,Phb2,0.8125,0.8125
Lmnb1,Map2k1,0.75,0.875
Lmnb1,Pdap1,0.6875,0.8125
Lmnb1,Bzw2,0.75,0.8125
Lmnb1,Pkm,0.875,0.9375
Lmnb1,Psmd4,0.875,0.9375
Lmnb1,Cp,0.6875,0.8125
Lmnb1,Adss1,0.8125,0.875
Lmnb1,Cops3,0.6875,0.8125
Lrpprc,Ilf2,0.875,1.0
Lrpprc,Smyd2,0.875,1.0
Lrpprc,Cox5b,0.75,0.875
Lrpprc,Sephs1,0.8125,1.0
Lrpprc,Zc3h15,0.75,1.0
Lrpprc,Flnc,0.75,0.875
Lrpprc,Obscn,0.8125,1.0
Lrpprc,Hgs,0.875,0.875
Lrpprc,Ttn,0.875,0.9375
Lrpprc,Wdr26,0.75,0.875
Lrpprc,Ncbp1,0.8125,1.0
Lrpprc,U2af1,0.6875,0.9375
Lrpprc,Bub3,0.75,0.9375
Lrpprc,Sod2,0.75,0.8125
Lrpprc,Numa1,0.75,0.9375
Lrpprc,Kctd9,0.875,0.9375
Lrpprc,Ubxn6,0.9375,0.9375
Lrpprc,Cpped1,0.875,0.875
Lrpprc,Tmed2,0.8125,0.875
Lrpprc,Ugp2,0.625,0.875
Lrpprc,Txnl1,0.75,0.9375
Lrpprc,Pef1,0.875,0.9375
Lrpprc,Btf3l4,0.75,0.875
Lrpprc,Emc2,0.8125,0.875
Lrpprc,Hsp90ab1,0.8125,0.9375
Lrpprc,Ogdh,0.625,0.875
Lrpprc,Pebp1,0.8125,0.875
Lrpprc,Tmem43,0.75,0.9375
Lrpprc,Arl6ip5,0.6875,0.875
Lrpprc,Prkaca,0.75,0.875
Lrpprc,Cndp2,0.875,0.8125
Lrpprc,Cbx3,0.9375,1.0
Lrpprc,Dld,0.8125,0.875
Lrpprc,Ptrh2,0.9375,1.0
Lrpprc,Mtx2,0.75,0.8125
Lrpprc,Tbc1d1,0.875,1.0
Lrpprc,Hnrnpl,0.8125,0.875
Lrpprc,Nme2,0.875,1.0
Lrpprc,Dffa,0.75,0.8125
Lrpprc,Ndufb5,0.8125,0.875
Lrpprc,Hsd17b4,0.6875,0.875
Lrpprc,Tnc,1.0,1.0
Lrpprc,Asrgl1,0.8125,0.875
Lrpprc,Spryd4,0.75,0.875
Lrpprc,Nol3,0.875,0.9375
Lrpprc,Aga,0.8125,0.8125
Lrpprc,Srsf7,0.75,0.875
Lrpprc,H2ac21,0.8125,0.8125
Lrpprc,Otud4,0.875,1.0
Lrpprc,Clic5,0.9375,1.0
Lrpprc,Cfl2,0.625,0.875
Lrpprc,Inpp1,0.75,0.9375
Lrpprc,Atp6v1g1,0.875,1.0
Lrpprc,Atox1,0.6875,0.875
Lrpprc,Ddx5,0.6875,0.9375
Lrpprc,Rad21,0.875,1.0
Lrpprc,Sdha,0.75,0.875
Lrpprc,Col5a2,0.8125,0.875
Lrpprc,Atp2b1,0.6875,0.8125
Lrpprc,Xirp1,0.6875,0.875
