Gene 1,Gene 2,cv,train
Hrg,Fbln5,0.9375,0.9375
Hrg,Me1,0.8125,1.0
Hrg,Cela1,0.875,0.875
Hrg,Pgd,0.9375,1.0
Hrg,Minpp1,0.875,0.9375
Hrg,Serpinf2,0.875,1.0
Hrg,Tfrc,0.875,0.9375
Hrg,Pnp,0.75,0.9375
Hrg,F12,0.8125,0.9375
Hrg,Ighg1,0.875,0.9375
Hrg,Tubb4b,0.9375,0.9375
Hrg,Sell,0.9375,0.9375
Hrg,Masp1,0.9375,0.9375
Hrg,Hyou1,0.8125,0.875
Hrg,Man2b1,0.8125,0.9375
Hrg,Amy1,0.9375,1.0
Hrg,Gpx1,0.875,0.9375
Hrg,Umod,0.8125,0.9375
Hrg,Apod,0.8125,0.9375
Hrg,Serpina1b,0.75,0.9375
Hrg,F13a1,0.875,1.0
Hrg,Ptprg,0.875,0.9375
Hrg,Ighv3-6,0.75,0.9375
Hrg,Cd93,0.9375,0.9375
Hrg,Cdh13,0.875,0.875
Hrg,Cfb,0.8125,0.9375
Hrg,Manba,0.875,0.9375
Hrg,Arpc3,0.875,0.9375
Hrg,Sod3,0.8125,0.9375
Hrg,Ca3,0.9375,0.9375
Hrg,Ces2e,0.875,0.9375
Hrg,Ywhaz,0.8125,0.9375
Hrg,Apof,0.75,0.9375
Hrg,P4hb,1.0,1.0
Hrg,Tkt,0.8125,0.9375
Hrg,Ghr,0.875,0.9375
Cd248,A2m,0.5,0.75
Cd248,Serpina1a,0.8125,0.8125
Cd248,Cpn2,0.75,0.75
Cd248,Ggh,0.5625,0.75
Cd248,F9,0.875,0.875
Cd248,Plxdc2,0.625,0.75
Cd248,Taldo1,0.75,0.8125
Cd248,Kng1,0.6875,0.8125
Cd248,Ext2,0.5625,0.8125
Cd248,Eef2,0.625,0.6875
Cd248,Cst3,0.6875,0.875
Cd248,Lpl,0.5625,0.8125
Cd248,Ngp,0.75,0.8125
Cd248,Fga,0.6875,0.8125
Cd248,C9,0.625,0.8125
Cd248,Igfbp3,0.625,0.9375
Cd248,Afm,0.75,0.75
Cd248,Apcs,0.75,0.8125
Cd248,Itih2,0.6875,0.9375
Cd248,Dkk3,0.8125,0.8125
Cd248,Serpina3n,0.625,0.8125
Cd248,Psmb10,0.5625,0.6875
Cd248,F2,0.375,0.6875
Cd248,Selenop,0.75,0.8125
Cd248,Msn,0.8125,0.8125
Cd248,Ctsz,0.5625,0.8125
Cd248,Apoc2,0.6875,0.8125
Cd248,Vcl,0.4375,0.6875
Cd248,Fgb,0.6875,0.8125
Cd248,Serping1,0.6875,0.8125
Cd248,Amy2,0.625,0.6875
Cd248,Apoc4,0.8125,0.8125
Cd248,Fgg,0.75,0.8125
Cd248,Col11a2,0.6875,0.75
Cd248,Serpina6,0.625,0.8125
Cd248,Igf1,0.4375,0.75
Cd248,Clu,0.6875,0.8125
Cd248,Pi16,0.6875,0.8125
Cd248,Tuba1b,0.75,0.6875
Cd248,Serpina10,0.875,0.875
Cd248,Lamp2,0.5625,0.75
Cd248,Antxr2,0.6875,0.75
Cd248,Pigr,0.6875,0.75
Cd248,Hamp,0.5,0.8125
Cd248,Lrp1,0.5625,0.8125
Cd248,Ptprm,0.5625,0.75
Cd248,Egfr,0.6875,0.875
Cd248,Ptgds,0.625,0.6875
Cd248,Ca2,0.625,0.8125
Cd248,Psma7,0.6875,0.8125
Cd248,Fbln1,0.875,0.875
Cd248,Lap3,0.5625,0.8125
Cd248,Spink1,0.625,0.75
Cd248,Tmsb4x,0.4375,0.6875
Cd248,Tagln2,0.6875,0.6875
Cd248,Dpep2,0.625,0.8125
Cd248,Btd,0.5625,0.8125
Cd248,Cela2a,0.6875,0.6875
Cd248,Cycs,0.5,0.6875
Cd248,Hpx,0.625,0.8125
Cd248,Fbln5,0.6875,0.75
Cd248,Me1,0.6875,0.6875
Cd248,Cela1,0.625,0.75
Cd248,Pgd,0.6875,0.75
Cd248,Minpp1,0.6875,0.6875
Cd248,Serpinf2,0.8125,0.8125
Cd248,Tfrc,0.6875,0.8125
Cd248,Pnp,0.75,0.875
Cd248,F12,0.6875,0.8125
Cd248,Ighg1,0.625,0.75
Cd248,Tubb4b,0.625,0.6875
Cd248,Sell,0.5,0.75
Cd248,Masp1,0.5,0.75
Cd248,Hyou1,0.625,0.8125
Cd248,Man2b1,0.4375,0.6875
Cd248,Amy1,0.625,0.8125
Cd248,Gpx1,0.875,0.75
Cd248,Umod,0.6875,0.75
Cd248,Apod,0.5625,0.875
Cd248,Serpina1b,0.625,0.6875
Cd248,F13a1,0.8125,0.8125
Cd248,Ptprg,0.5625,0.625
Cd248,Ighv3-6,0.4375,0.8125
Cd248,Cd93,0.625,0.75
Cd248,Cdh13,0.625,0.75
Cd248,Cfb,0.625,0.75
Cd248,Manba,0.8125,0.9375
Cd248,Arpc3,0.6875,0.75
Cd248,Sod3,0.6875,0.875
Cd248,Ca3,0.8125,0.8125
Cd248,Ces2e,0.6875,0.6875
Cd248,Ywhaz,0.8125,0.75
Cd248,Apof,0.5,0.5625
Cd248,P4hb,0.5625,0.75
Cd248,Tkt,0.625,0.75
Cd248,Ghr,0.6875,0.8125
A2m,Serpina1a,0.75,0.9375
A2m,Cpn2,0.6875,0.8125
A2m,Ggh,0.75,0.75
A2m,F9,0.625,0.875
A2m,Plxdc2,0.8125,0.875
A2m,Taldo1,0.6875,0.875
A2m,Kng1,0.75,0.8125
A2m,Ext2,0.8125,0.8125
A2m,Eef2,0.75,0.875
A2m,Cst3,0.6875,0.6875
A2m,Lpl,0.8125,0.8125
A2m,Ngp,0.625,0.8125
A2m,Fga,0.5,0.8125
A2m,C9,0.8125,0.875
A2m,Igfbp3,0.875,0.875
A2m,Afm,0.75,0.75
A2m,Apcs,0.6875,0.8125
A2m,Itih2,0.8125,0.9375
A2m,Dkk3,0.8125,0.875
A2m,Serpina3n,0.875,0.9375
A2m,Psmb10,0.875,0.875
A2m,F2,0.5625,0.8125
A2m,Selenop,0.875,0.8125
A2m,Msn,0.8125,0.875
A2m,Ctsz,0.8125,0.9375
A2m,Apoc2,0.8125,1.0
A2m,Vcl,0.625,0.75
A2m,Fgb,0.5,0.8125
A2m,Serping1,0.9375,0.9375
A2m,Amy2,0.5,0.75
A2m,Apoc4,0.8125,0.875
A2m,Fgg,0.5,0.8125
A2m,Col11a2,0.6875,0.8125
A2m,Serpina6,0.6875,0.8125
A2m,Igf1,0.875,0.875
A2m,Clu,0.625,0.8125
A2m,Pi16,0.8125,0.875
A2m,Tuba1b,0.6875,0.75
A2m,Serpina10,0.6875,0.875
A2m,Lamp2,0.75,0.875
A2m,Antxr2,0.6875,0.875
A2m,Pigr,0.625,0.875
A2m,Hamp,0.8125,0.9375
A2m,Lrp1,0.625,0.8125
A2m,Ptprm,0.6875,0.875
A2m,Egfr,0.6875,0.8125
A2m,Ptgds,0.875,0.875
A2m,Ca2,0.8125,0.8125
A2m,Psma7,0.8125,0.875
A2m,Fbln1,0.75,0.875
A2m,Lap3,0.75,0.8125
A2m,Spink1,0.6875,0.8125
A2m,Tmsb4x,0.8125,0.8125
A2m,Tagln2,0.75,0.875
A2m,Dpep2,0.75,0.8125
A2m,Btd,0.625,0.875
A2m,Cela2a,0.5625,0.75
A2m,Cycs,0.8125,0.8125
A2m,Hpx,0.625,0.875
A2m,Fbln5,0.625,0.75
A2m,Me1,0.8125,0.8125
A2m,Cela1,0.8125,0.875
A2m,Pgd,0.75,0.8125
A2m,Minpp1,0.75,0.8125
